common_movie_id,overview,translated_overview
2370,"A French intelligence agent becomes embroiled in the Cold War politics first with uncovering the events leading up to the 1962 Cuban Missle Crisis, and then back to France to break up an international Russian spy ring.","एक फ्रांसीसी ख़ुफ़िया एजेंट शीत युद्ध की राजनीति में उलझ जाता है, पहले 1962 के क्यूबा मिसाइल संकट से जुड़ी घटनाओं को उजागर करता है, और फिर एक अंतरराष्ट्रीय रूसी जासूसी गिरोह को तोड़ने के लिए फ्रांस वापस जाता है।"
1955,"A Victorian surgeon rescues a heavily disfigured man being mistreated by his ""owner"" as a side-show freak. Behind his monstrous façade, there is revealed a person of great intelligence and sensitivity. Based on the true story of Joseph Merrick (called John Merrick in the film), a severely deformed man in 19th century London.","एक विक्टोरियन सर्जन ने एक भारी रूप से विकृत व्यक्ति को बचाया, जिसके साथ उसके ""मालिक"" ने एक सनकी व्यक्ति के रूप में दुर्व्यवहार किया था। उसके राक्षसी मुखौटे के पीछे एक अत्यंत बुद्धिमान और संवेदनशील व्यक्ति का पता चलता है। जोसेफ मेरिक (फिल्म में जॉन मेरिक कहा जाता है) की सच्ची कहानी पर आधारित, 19वीं सदी के लंदन में एक गंभीर रूप से विकृत व्यक्ति।"
1948,Professional assassin Chev Chelios learns his rival has injected him with a poison that will kill him if his heart rate drops.,"पेशेवर हत्यारे शेव चेलियोस को पता चला कि उसके प्रतिद्वंद्वी ने उसे जहर का इंजेक्शन लगाया है, जिससे अगर उसकी हृदय गति कम हो गई तो वह मर जाएगा।"
1726,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.","अफगान गुफा में बंदी बनाए जाने के बाद, अरबपति इंजीनियर टोनी स्टार्क ने बुराई से लड़ने के लिए एक अनोखा हथियारयुक्त कवच बनाया।"
4419,"In 1935, American audiences were treated to two simultaneously released versions of Les Miserables, one made in Hollywood, the other in France. Much the same thing happened in 1952. While 20th Century-Fox's Les Miserables, starring Michael Rennie as beleagured ex-convict Jean Valjean, was making the rounds, a second version, lensed in Italy, was also showing up in selected theatres. Running a fast 112 minutes (hardly enough time to do full justice to the novel), U.S. release of the Italian adaptation starred Gino Servi as Valjean, whose ""new"" life as a man of position and respect is forever threatened by dogged detective Javert. Valentine Cortese costars as Cosette, Valjean's adopted daughter. English-language prints of the the Italian Les Miserables credit the direction to ""Robert Hampton""; in fact, direction was handled by prominent European filmmaker Riccardo Freda.","1935 সালে, আমেরিকান শ্রোতারা লেস মিজারেবলসের দুটি একই সাথে প্রকাশিত সংস্করণের সাথে আচরণ করা হয়েছিল, একটি হলিউডে এবং অন্যটি ফ্রান্সে। 1952 সালে অনেকটা একই ঘটনা ঘটেছিল। যখন 20th Century-Fox-এর Les Miserables, মাইকেল রেনি অভিনীত প্রাক্তন দোষী সাজাপ্রাপ্ত জিন ভালজিনের চরিত্রে অভিনয় করছিল, তখন ইতালিতে লেন্স করা একটি দ্বিতীয় সংস্করণও নির্বাচিত থিয়েটারগুলিতে প্রদর্শিত হয়েছিল। 112 মিনিটের দ্রুত গতিতে (উপন্যাসের সম্পূর্ণ ন্যায়বিচার করার জন্য খুব কমই যথেষ্ট সময়), ইউএস রিলিজ ইতালীয় অভিযোজনে জিনো সার্ভিকে ভালজিন চরিত্রে অভিনয় করা হয়েছে, যার ""নতুন"" জীবন একটি অবস্থান এবং সম্মানের মানুষ হিসাবে চিরকালের জন্য কুত্তার গোয়েন্দা জাভার্টের দ্বারা হুমকির সম্মুখীন। ভ্যালেন্টাইন কর্টেস কসটেটের চরিত্রে, ভালজিনের দত্তক কন্যা। ইতালীয় লেস মিজারেবলস-এর ইংরেজি-ভাষা প্রিন্টগুলি ""রবার্ট হ্যাম্পটন"" কে নির্দেশনা দেয়; প্রকৃতপক্ষে, পরিচালনা করেছিলেন বিশিষ্ট ইউরোপীয় চলচ্চিত্র নির্মাতা রিকার্ডো ফ্রেদা।"
2701,"This engrossing dramatization of the life of Abraham, the most tested servant of God and the father of Judaism, spans from the patriarch's quest for the Promised Land to the sacrifice of his son, Isaac.","ईश्वर के सबसे परखे हुए सेवक और यहूदी धर्म के पिता इब्राहीम के जीवन का यह मनोरंजक नाटकीयकरण, वादा किए गए देश के लिए कुलपिता की खोज से लेकर उनके बेटे, इसहाक के बलिदान तक फैला हुआ है।"
844,"2046 is the sequel to Wong Kar-Wais’ successful box-office hit In The Mood For Love. A film about affairs, ending relationships, and a shared love for Kung-Fu novels as the main character, Chow, writes his own novel and reflects back on his favorite love Su.","2046 वोंग कार-वैस की सफल बॉक्स-ऑफिस हिट इन द मूड फॉर लव की अगली कड़ी है। अफेयर्स, खत्म होते रिश्तों और कुंग-फू उपन्यासों के प्रति साझा प्रेम के बारे में एक फिल्म, मुख्य पात्र, चाउ, अपना उपन्यास लिखता है और अपने पसंदीदा प्रेम सु पर प्रतिबिंबित करता है।"
104374,A married woman lets her lover take naked pictures of her. The photos end up in possession of a man who starts blackmailing the couple.,ଜଣେ ବିବାହିତା ମହିଳା ତାଙ୍କ ପ୍ରେମିକକୁ ତା’ର ଉଲଗ୍ନ ଫଟୋ ଉଠାଇବାକୁ ଦିଅନ୍ତି | ଫଟୋଗୁଡ଼ିକ ଏପରି ଜଣେ ବ୍ୟକ୍ତିଙ୍କ ପାଖରେ ଅଛି ଯିଏ ଦମ୍ପତିଙ୍କୁ ବ୍ଲାକମେଲିଂ କରିବା ଆରମ୍ଭ କରନ୍ତି |
7454,"In 1944, in the Belgian - German border, seven German soldiers survive an American attack in the front and lock themselves in a bunker to protect the position. Under siege by the enemy and with little ammunition, they decide to explore underground tunnels to seek supplies and find an escape route. While in the tunnel, weird things happen with the group.","1944 সালে, বেলজিয়াম-জার্মান সীমান্তে, সাতজন জার্মান সৈন্য সামনে আমেরিকান আক্রমণ থেকে বেঁচে যায় এবং অবস্থান রক্ষার জন্য একটি বাঙ্কারে নিজেদের লক করে। শত্রু দ্বারা অবরোধ এবং সামান্য গোলাবারুদ সহ, তারা সরবরাহ খোঁজার জন্য এবং একটি পালানোর পথ খুঁজে পেতে ভূগর্ভস্থ টানেল অন্বেষণ করার সিদ্ধান্ত নেয়। টানেলে থাকাকালীন, গ্রুপের সাথে অদ্ভুত জিনিসগুলি ঘটে।"
7088,Gina and Seth have been pen pals for 13 years and now will have the chance to meet. Both used their best friends pictures to send to each other and now will let their friends meet. True love is found in the end for all.,জিনা এবং শেঠ 13 বছর ধরে কলম বন্ধু এবং এখন দেখা করার সুযোগ পাবে। দুজনেই একে অপরকে পাঠাতে তাদের সেরা বন্ধুর ছবি ব্যবহার করেছিলেন এবং এখন তাদের বন্ধুদের দেখা করতে দেবে। সত্যিকারের ভালবাসা সবার জন্য শেষ পর্যন্ত পাওয়া যায়।
