common_movie_id,overview,translated_overview
98122,"After the sudden death of her dad, Sameer, and mom, Preeti, Sahila goes to live with her grandmother and cousin in Bombay. Years later, now fully matured, she returns home to Chandanagar to live with her uncle, Mahendra Pratap, and cousin, Jasmin. This is where she will be exposed to a resurrected evil witch, Nikita, who has manifested herself in the body of Jasmin. Aided by a priest named Baba, she is determined to kill each and everyone of the remainder of the Pratap family members. And there is no known power on Earth that can stop Nikita.","ତାଙ୍କ ବାପା ସମୀର ଏବଂ ମା ପ୍ରୀତିଙ୍କ ହଠାତ୍ ମୃତ୍ୟୁ ପରେ ସାହିଲା ବମ୍ବେରେ ତାଙ୍କ ଜେଜେମା ଏବଂ ସମ୍ପର୍କୀୟଙ୍କ ସହ ରହିବାକୁ ଯାଆନ୍ତି। ବହୁ ବର୍ଷ ପରେ, ବର୍ତ୍ତମାନ ପୂର୍ଣ୍ଣ ପରିପକ୍ୱ ହୋଇ ସେ ନିଜ ମାମୁଁ ମହେନ୍ଦ୍ର ପ୍ରତାପ ଏବଂ ସମ୍ପର୍କୀୟ ଜସ୍ମିନ୍ଙ୍କ ସହ ରହିବାକୁ ଚନ୍ଦନଗରକୁ ଫେରିଛନ୍ତି | ଏହିଠାରେ ସେ ଜସ୍ମିନଙ୍କ ଶରୀରରେ ନିଜକୁ ଦେଖାଇଥିବା ପୁନରୁତ୍ଥିତ ମନ୍ଦ ଯାଦୁଗର ନିକିତାଙ୍କ ସଂସ୍ପର୍ଶରେ ଆସିବେ। ବାବା ନାମକ ଜଣେ ପୁରୋହିତଙ୍କ ସାହାଯ୍ୟରେ ସେ ପ୍ରତାପ ପରିବାରର ସମସ୍ତ ସଦସ୍ୟଙ୍କୁ ହତ୍ୟା କରିବାକୁ ସ୍ଥିର କରିଛନ୍ତି। ଏବଂ ପୃଥିବୀରେ କ known ଣସି ଜଣାଶୁଣା ଶକ୍ତି ନାହିଁ ଯାହା ନିକିତାଙ୍କୁ ଅଟକାଇପାରେ |"
4254,"Naina is a very serious girl with a very serious life. But one day, her soul is awakened by the happy-go-lucky Aman, who teaches her that life is meant to be lived. Naturally, she falls in love with him. But Aman is harboring a secret that keeps him from reciprocating Naina's love. But he cannot stand having her live a life without love, so he sets off on a mission to fill her life with someone else's love - someone she already knows...","নায়না খুব সিরিয়াস জীবনের সাথে একটা মেয়ে। কিন্তু একদিন, তার আত্মা সুখী-গো-ভাগ্যবান আমান দ্বারা জাগ্রত হয়, যে তাকে শেখায় যে জীবন মানেই বেঁচে থাকা। স্বাভাবিকভাবেই, সে তার প্রেমে পড়ে। কিন্তু আমান এমন একটি গোপন বিষয়কে আশ্রয় করে যা তাকে নয়নার প্রেমের প্রতিদান দিতে বাধা দেয়। কিন্তু সে তার ভালবাসা ছাড়া জীবন কাটাতে সহ্য করতে পারে না, তাই সে তার জীবনকে অন্য কারো ভালবাসায় পূর্ণ করার একটি মিশনে যাত্রা শুরু করে - এমন একজন যাকে সে ইতিমধ্যেই জানে..."
37731,"When Vanheden and Dynamit-Harry tries to break doctor Busé out of jail, they get Herman Melvin instead...","ଯେତେବେଳେ ୱାନହେଡେନ୍ ଏବଂ ଡାଇନାମାଇଟ୍-ହ୍ୟାରି ଡାକ୍ତର ବୁସେଙ୍କୁ ଜେଲରୁ ବାହାର କରିବାକୁ ଚେଷ୍ଟା କରନ୍ତି, ସେମାନେ ଏହା ବଦଳରେ ହରମାନ ମେଲଭିନଙ୍କୁ ପାଇଥାନ୍ତି ..."
1377,An Italian socialite on the run signs on as housekeeper for a widower with three children.,एक भागा हुआ इटालियन सोशलाइट तीन बच्चों वाले एक विधुर के लिए गृहस्वामी के रूप में नियुक्त होता है।
3692,"A series of murders in Michigan lead an American secret agent to Amsterdam, where he uncovers a plot to imperil the world with a potent new drug.","मिशिगन में हत्याओं की एक श्रृंखला एक अमेरिकी गुप्त एजेंट को एम्स्टर्डम ले जाती है, जहां वह एक शक्तिशाली नई दवा के साथ दुनिया को खतरे में डालने की साजिश का पर्दाफाश करता है।"
4734,"In late spring, 1890, Vincent moves to Auvers-sur-Oise, near Paris, under the care of Dr. Gachet, living in a humble inn. Fewer than 70 days later, Vincent dies from a self-inflicted gunshot wound. We see Vincent at work, painting landscapes and portraits. His brother Theo, wife Johanna, and their baby visit Auvers. Vincent is playful and charming, engaging the attentions of Gachet's daughter Marguerite (who's half Vincent's age), a young maid at the inn, Cathy a Parisian prostitute, and Johanna. Shortly before his death, Vincent visits Paris, quarrels with Theo, disparages his own art and accomplishments, dances at a brothel, and is warm then cold toward Marguerite.","1890 সালের বসন্তের শেষের দিকে, ভিনসেন্ট প্যারিসের কাছে আউভার্স-সুর-ওইসে চলে যান, ডঃ গ্যাচেটের তত্ত্বাবধানে, একটি নম্র সরাইখানায় বসবাস করেন। 70 দিনেরও কম পরে, ভিনসেন্ট একটি স্ব-প্ররোচিত বন্দুকের গুলির আঘাতে মারা যান। আমরা ভিনসেন্টকে কর্মক্ষেত্রে দেখি, ল্যান্ডস্কেপ এবং প্রতিকৃতি আঁকা। তার ভাই থিও, স্ত্রী জোহানা এবং তাদের বাচ্চা আউভার্সে যান। ভিনসেন্ট কৌতুকপূর্ণ এবং কমনীয়, গ্যাচেটের মেয়ে মার্গুয়েরিট (যার বয়স ভিনসেন্টের অর্ধেক), সরাইখানার একজন যুবতী দাসী, ক্যাথি একজন প্যারিসীয় পতিতা এবং জোহানার মনোযোগ আকর্ষণ করে। তার মৃত্যুর কিছুক্ষণ আগে, ভিনসেন্ট প্যারিসে যান, থিওর সাথে ঝগড়া করেন, তার নিজের শিল্প এবং কৃতিত্বকে অবজ্ঞা করেন, একটি পতিতালয়ে নাচ করেন এবং মার্গুয়েরিটের প্রতি উষ্ণ তারপর ঠান্ডা হন।"
988,"While doing a series of reports on alternative energy sources, an opportunistic reporter Kimberly Wells witnesses an accident at a nuclear power plant. Wells is determined to publicise the incident but soon finds herself entangled in a sinister conspiracy to keep the full impact of the incident a secret.","वैकल्पिक ऊर्जा स्रोतों पर रिपोर्टों की एक श्रृंखला करते समय, एक अवसरवादी रिपोर्टर किम्बर्ली वेल्स एक परमाणु ऊर्जा संयंत्र में एक दुर्घटना देखती है। वेल्स इस घटना को प्रचारित करने के लिए दृढ़ संकल्पित है, लेकिन जल्द ही वह घटना के पूरे प्रभाव को गुप्त रखने की एक भयावह साजिश में फंस जाती है।"
8340,Turtles can fly tells the story of a group of young children near the Turkey-Iran border. They clean up mines and wait for the Saddam regime to fall.,কচ্ছপ উড়তে পারে তুরস্ক-ইরান সীমান্তের কাছে একদল ছোট বাচ্চাদের গল্প বলে। তারা মাইন পরিষ্কার করে এবং সাদ্দাম সরকারের পতনের জন্য অপেক্ষা করে।
1893,"Anakin Skywalker, a young slave strong with the Force, is discovered on Tatooine. Meanwhile, the evil Sith have returned, enacting their plot for revenge against the Jedi.","एनाकिन स्काईवॉकर, एक युवा गुलाम जो सेना में मजबूत है, को टाटूइन पर खोजा गया है। इस बीच, दुष्ट सिथ जेडी के खिलाफ बदला लेने की साजिश रचते हुए वापस आ गया है।"
56715,"A knight and his valet are plagued by a witch, and to repair the damage they make use of the services of a wizard. However, something goes wrong and they are transported from the 12th century to the year 2000. There the knight meets some of his family and slowly learns what this new century is like. However, he still needs to get back to the 12th century to deal with the witch, so he starts looking for a wizard.","ଜଣେ ନାଇଟ୍ ଏବଂ ତାଙ୍କ ଭାଲେଟ୍ ଜଣେ ଯାଦୁଗରଙ୍କ ଦ୍ pl ାରା ପୀଡିତ, ଏବଂ ସେମାନେ ଏକ ଯାଦୁଗର ସେବା ବ୍ୟବହାର କରୁଥିବା କ୍ଷୟକ୍ଷତିର ମରାମତି ପାଇଁ | ତଥାପି, କିଛି ଭୁଲ୍ ହୋଇଯାଏ ଏବଂ ସେଗୁଡିକ ଦ୍ୱାଦଶ ଶତାବ୍ଦୀରୁ 2000 ବର୍ଷ ପର୍ଯ୍ୟନ୍ତ ପରିବହନ କରାଯାଇଥାଏ | ସେଠାରେ ନାଇଟ୍ ତାଙ୍କ ପରିବାରର କିଛି ଲୋକଙ୍କୁ ଭେଟି ଧୀରେ ଧୀରେ ଏହି ନୂତନ ଶତାବ୍ଦୀର ଅବସ୍ଥା କିପରି ଜାଣନ୍ତି | ତଥାପି, ତାଙ୍କୁ ଯାଦୁକର ମୁକାବିଲା ପାଇଁ ଦ୍ୱାଦଶ ଶତାବ୍ଦୀକୁ ଫେରିବା ଆବଶ୍ୟକ, ତେଣୁ ସେ ଜଣେ ଯାଦୁଗର ଖୋଜିବା ଆରମ୍ଭ କଲେ |"
