common_movie_id,overview,translated_overview
85394,"The Polish artist Julia and her husband Piotr, a talented and successful composer, live in Kraków. When Julias's mother, Barbara falls ill with stomach cancer, the life of the family is falling apart. Julia accompanies her mother to death, but her husband Piotr is at rehearsals in Cologne and leaves her to cope with this difficult situation. Only her friend Adrian is at her side. Her father Jurek is also overwhelmed by the impending loss of his beloved wife. After the death of the mother her father takes comfort from alcohol. Shortly after the father dies. Julia found only in the arms of Adrian to rest, but this in turn destroyed her marriage to Piotr. After the loss of the parents and break up of the marriage she is now alone in the world with an uncertain future where Adrian is of little help","ପୋଲାଣ୍ଡର କଳାକାର ଜୁଲିଆ ଏବଂ ତାଙ୍କ ସ୍ୱାମୀ ପିଓଟର, ଜଣେ ଦକ୍ଷ ତଥା ସଫଳ ରଚନା, କ୍ରାକୋଭରେ ରୁହନ୍ତି | ଯେତେବେଳେ ଜୁଲିୟସଙ୍କ ମା, ବାର୍ବାରା ପେଟ କର୍କଟରେ ପୀଡିତ, ପରିବାରର ଜୀବନ ଅଲଗା ହୋଇଯାଏ | ଜୁଲିଆ ତାଙ୍କ ମା’ଙ୍କ ସହ ମୃତ୍ୟୁ ପର୍ଯ୍ୟନ୍ତ ଯାଇଥିଲେ, କିନ୍ତୁ ତାଙ୍କ ସ୍ୱାମୀ ପିଓଟ୍ର କୋଲନେରେ ରିହର୍ସାଲରେ ଅଛନ୍ତି ଏବଂ ତାଙ୍କୁ ଏହି କଷ୍ଟଦାୟକ ପରିସ୍ଥିତିର ମୁକାବିଲା ପାଇଁ ଛାଡିଛନ୍ତି | କେବଳ ତାଙ୍କ ସାଙ୍ଗ ଆଡ୍ରିଆନ୍ ତାଙ୍କ ପାଖରେ ଅଛନ୍ତି | ତାଙ୍କ ପିତା ଜୁରେକ ମଧ୍ୟ ତାଙ୍କ ପ୍ରିୟ ପତ୍ନୀଙ୍କ ଆଗାମୀ କ୍ଷତିରେ ଅତିଷ୍ଠ ହୋଇପଡିଛନ୍ତି। ମା’ର ମୃତ୍ୟୁ ପରେ ତାଙ୍କ ବାପା ମଦ୍ୟପାନରୁ ଆରାମ ପାଆନ୍ତି | ବାପାଙ୍କ ଦେହାନ୍ତ ହେବାର କିଛି ସମୟ ପରେ | ଜୁଲିଆ କେବଳ ଆଡ୍ରିଆନ୍ଙ୍କ କୋଳରେ ବିଶ୍ରାମ ନେବାକୁ ପାଇଲେ, କିନ୍ତୁ ଏହା ପରବର୍ତ୍ତୀ ସମୟରେ ପିଓଟ୍ରଙ୍କ ସହିତ ତାଙ୍କ ବିବାହକୁ ନଷ୍ଟ କରିଦେଲା | ପିତାମାତାଙ୍କର ହାରିଯିବା ଏବଂ ବିବାହ ଭାଙ୍ଗିବା ପରେ ସେ ବର୍ତ୍ତମାନ ଏକ ଅନିଶ୍ଚିତ ଭବିଷ୍ୟତ ସହିତ ଦୁନିଆରେ ଏକୁଟିଆ ଅଛନ୍ତି ଯେଉଁଠାରେ ଆଡ୍ରିଆନ୍ଙ୍କର ସାମାନ୍ୟ ସାହାଯ୍ୟ ନାହିଁ |"
51357,Buster competes with another farmhand for the love of the farmer's daughter.,କୃଷକ daughter ିଅର ପ୍ରେମ ପାଇଁ ବୁଷ୍ଟର ଅନ୍ୟ ଏକ ଚାଷ ଜମି ସହିତ ପ୍ରତିଯୋଗିତା କରନ୍ତି |
26425,"Gary Starke is one of the best ticket scalpers in New York City. His girlfriend, Linda, doesn't approve of his criminal lifestyle, though, and dumps him when she gets the opportunity to study cooking in Paris. Gary realizes that he has to give up scalping if he has any chance of winning her back. But before he does, he wants to cash out on one last big score. He gets his chance when the pope announces he'll be performing Easter Mass at Yankee Stadium.","গ্যারি স্টার্ক নিউ ইয়র্ক সিটির সেরা টিকিট স্ক্যাপারদের একজন। যদিও তার বান্ধবী, লিন্ডা, তার অপরাধমূলক জীবনধারাকে অনুমোদন করে না, এবং যখন সে প্যারিসে রান্না শেখার সুযোগ পায় তখন তাকে ফেলে দেয়। গ্যারি বুঝতে পারে যে তাকে স্ক্যাল্পিং ছেড়ে দিতে হবে যদি তার ফিরে জয়ের কোনো সুযোগ থাকে। কিন্তু সে করার আগে, সে শেষ একটা বড় স্কোর ক্যাশ আউট করতে চায়। তিনি তার সুযোগ পান যখন পোপ ঘোষণা করেন যে তিনি ইয়াঙ্কি স্টেডিয়ামে ইস্টার মাস অনুষ্ঠান করবেন।"
44864,"The Queen of the Night enlists a handsome prince named Tamino to rescue her beautiful kidnapped daughter, Princess Pamina, in this screen adaptation of the beloved Mozart opera. Aided by the lovelorn bird hunter Papageno and a magical flute that holds the power to change the hearts of men, young Tamino embarks on a quest for true love, leading to the evil Sarastro's temple where Pamina is held captive.",ରାଣୀ ରାଣୀ ତାମିନୋ ନାମକ ଏକ ସୁନ୍ଦର ରାଜକୁମାରଙ୍କୁ ତାଙ୍କ ସୁନ୍ଦର ଅପହରଣ ହୋଇଥିବା daughter ିଅ ରାଜକୁମାରୀ ପାମିନାଙ୍କୁ ପ୍ରିୟ ମୋଜାର୍ଟ ଅପେରାର ଏହି ପରଦାରେ ଆଡାପ୍ଟେସନ୍ରେ ଉଦ୍ଧାର କରିଥିଲେ | ପ୍ରେମୀ ଯୁଗଳ ଶିକାରୀ ପାପାଗେନୋ ଏବଂ ଏକ ଯାଦୁକରୀ ବଂଶୀ ସାହାଯ୍ୟରେ ପୁରୁଷଙ୍କ ହୃଦୟ ପରିବର୍ତ୍ତନ କରିବାର ଶକ୍ତି ଧାରଣ କରିଥିବା ଯୁବକ ତାମିନୋ ପ୍ରକୃତ ପ୍ରେମ ପାଇଁ ଏକ ସନ୍ଧାନ ଆରମ୍ଭ କରି ମନ୍ଦ ସାରାଷ୍ଟ୍ରୋଙ୍କ ମନ୍ଦିରକୁ ଯାଇଥାଏ ଯେଉଁଠାରେ ପାମିନା ବନ୍ଦୀ ହୋଇ ରହିଥିଲେ |
914,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,तानाशाह एडेनोइड हिन्केल अपने साम्राज्य का विस्तार करने की कोशिश करता है जबकि एक गरीब यहूदी नाई हिंकेल के शासन से उत्पीड़न से बचने की कोशिश करता है।
4283,A news team is sent to Burundi to capture and bring home a legendary 25-foot crocodile. Their difficult task turns potentially deadly when a warlord targets them for death.,একটি কিংবদন্তি 25-ফুট কুমিরকে ধরতে এবং বাড়িতে আনতে একটি সংবাদ দল বুরুন্ডিতে পাঠানো হয়। তাদের কঠিন কাজ সম্ভাব্য মারাত্মক পরিণত হয় যখন একজন যুদ্ধবাজ তাদের মৃত্যুর জন্য লক্ষ্য করে।
7183,"A journalist goes undercover to ferret out businessman Harrison Hill as her best friend's killer. Posing as one of his temps, she enters into a game of online cat-and-mouse.","একজন সাংবাদিক ব্যবসায়ী হ্যারিসন হিলকে তার সেরা বন্ধুর খুনি হিসেবে খুঁজে বের করতে গোপনে যান। তার টেম্পদের একজন হিসাবে জাহির করে, সে অনলাইন বিড়াল-মাউসের একটি খেলায় প্রবেশ করে।"
8899,"In order to become the owner of a snack bar with her boyfriend, Lorna, a young Albanian woman living in Belgium, becomes an accomplice to a diabolical plan devised by mobster Fabio.","তার বয়ফ্রেন্ডের সাথে একটি স্ন্যাক বারের মালিক হওয়ার জন্য, বেলজিয়ামে বসবাসকারী এক যুবতী আলবেনিয়ান মহিলা লোর্না, মবস্টার ফ্যাবিওর তৈরি করা একটি শয়তানী পরিকল্পনার সহযোগী হয়ে ওঠে।"
31696,"Infatuated with the idea of becoming rich, college student Jonathan Corliss secretly dates Dorothy Carlsson to gain the approval of her wealthy father. When Dorothy tells Jonathan that she is pregnant and that her father will deny her inheritance if he finds out, Jonathan murders her, but he stages her death as a suicide. As Jonathan works his way onto Mr. Carlsson's payroll, Dorothy's twin sister, Ellen, investigates the apparent suicide.","ଧନୀ ହେବାର କଳ୍ପନାରେ ଉତ୍ସାହିତ ହୋଇ କଲେଜ ଛାତ୍ର ଜୋନାଥନ୍ କର୍ଲିସ୍ ତାଙ୍କ ଧନୀ ପିତାଙ୍କ ଅନୁମୋଦନ ପାଇବା ପାଇଁ ଡୋରୋଥୀ କାର୍ଲସନ୍ଙ୍କୁ ଗୁପ୍ତ ଭାବରେ ଡେଟ କରିଥିଲେ | ଯେତେବେଳେ ଡୋରୋଥୀ ଜୋନାଥନଙ୍କୁ କହିଥିଲେ ଯେ ସେ ଗର୍ଭବତୀ ଅଟନ୍ତି ଏବଂ ଯଦି ତାଙ୍କ ପିତା ତାଙ୍କ ଉତ୍ତରାଧିକାରୀକୁ ଅସ୍ୱୀକାର କରିବେ, ଜୋନାଥନ ତାଙ୍କୁ ହତ୍ୟା କରନ୍ତି, କିନ୍ତୁ ସେ ତାଙ୍କ ମୃତ୍ୟୁକୁ ଆତ୍ମହତ୍ୟା ଭାବରେ ପର୍ଯ୍ୟାୟ ଦେଇଥିଲେ | ଯେହେତୁ ଜୋନାଥନ୍ ଶ୍ରୀ କାର୍ଲସନ୍ଙ୍କ ବେତନ ଉପରେ କାର୍ଯ୍ୟ କରୁଛନ୍ତି, ଡୋରୋଥୀଙ୍କର ଯାଆଁଳା ଭଉଣୀ ଏଲେନ୍ ଆତ୍ମହତ୍ୟା ଘଟଣାର ଅନୁସନ୍ଧାନ କରୁଛନ୍ତି |"
1906,"Sunny is the singer of band trying to establish itself in the music-scene of East-Berlin. They play regular gigs in small towns, but Sunny feels out of touch with the audience and her life as a whole. She begins a relationship with the amateur saxophonist and studied philosopher Ralph who writes her a very personal song - but his obsession with death and unfaithful lifestyle is not for her. After getting into a quarrel with a band member who harasses her and telling off a show-host she is thrown out of the band. Abandoned, she struggles to regain control over her life.","सनी उस बैंड की गायिका हैं जो पूर्वी-बर्लिन के संगीत-क्षेत्र में खुद को स्थापित करने की कोशिश कर रही है। वे छोटे शहरों में नियमित कार्यक्रम पेश करते हैं, लेकिन सनी दर्शकों और समग्र रूप से अपने जीवन के संपर्क से बाहर महसूस करती हैं। वह शौकिया सैक्सोफोनिस्ट और अध्ययनरत दार्शनिक राल्फ के साथ एक रिश्ता शुरू करती है जो उसके लिए एक बहुत ही निजी गीत लिखता है - लेकिन मृत्यु और बेवफा जीवनशैली के प्रति उसका जुनून उसके लिए नहीं है। उसे परेशान करने वाले एक बैंड सदस्य के साथ झगड़ा होने और एक शो-होस्ट को खरी-खोटी सुनाने के बाद उसे बैंड से बाहर निकाल दिया जाता है। परित्यक्त, वह अपने जीवन पर नियंत्रण पाने के लिए संघर्ष करती है।"
4964,"For fun loving party animal Ben Stone, the last thing he ever expected was for his one night stand to show up on his doorstep eight weeks later to tell him she's pregnant.","মজার পার্টি প্রাণী বেন স্টোনের জন্য, শেষ জিনিসটি তিনি আশা করেছিলেন যে তার ওয়ান নাইট স্ট্যান্ডটি আট সপ্তাহ পরে তার দোরগোড়ায় দেখাবে তাকে জানাতে যে সে গর্ভবতী।"
1093,"The feature-film debut of famed director Louis Malle is an interesting, modern film noir with the classic theme of lovers plotting to kill the husband and make it look like suicide (reminiscent of The Postman Always Rings Twice). Jeanne Moreau gives an astonishing performance, perverse but naive as she leads her young lover down a path that can only lead to doom for both of them.","प्रसिद्ध निर्देशक लुईस मैले की पहली फीचर-फिल्म एक दिलचस्प, आधुनिक फिल्म नॉयर है, जिसमें प्रेमियों द्वारा पति को मारने और इसे आत्महत्या जैसा बनाने की साजिश रचने की क्लासिक थीम है (द पोस्टमैन ऑलवेज रिंग्स ट्वाइस की याद दिलाती है)। जीन मोरो एक आश्चर्यजनक प्रदर्शन देती है, विकृत लेकिन भोली, क्योंकि वह अपने युवा प्रेमी को ऐसे रास्ते पर ले जाती है जो केवल उन दोनों के लिए विनाश की ओर ले जा सकता है।"
84954,"Werner Krauss, who had played the deranged Dr. Caligari six years earlier, stars as a scientist who is tormented by an irrational fear of knives and the irresistible compulsion to murder his wife. Driven to the brink of madness by fantastic nightmares (designed by Ernö Metzner and photographed by Guido Seeber in a brilliant mix of expressionism and surrealism), he encounters a psychoanalyst who offers to treat the perplexing malady.","ଛଅ ବର୍ଷ ପୂର୍ବେ ଡ Dr. କାଲିଗରୀ ଭୂମିକାରେ ଅଭିନୟ କରିଥିବା ୱର୍ନର୍ କ୍ରାଉସ୍ ଜଣେ ବ scientist ଜ୍ଞାନିକ ଭାବରେ ଅଭିନୟ କରିଥିଲେ, ଯିଏ ଛୁରୀର ଏକ ଅଯ ational କ୍ତିକ ଭୟ ଏବଂ ତାଙ୍କ ପତ୍ନୀଙ୍କୁ ହତ୍ୟା କରିବା ପାଇଁ ଅସହଯୋଗ ବାଧ୍ୟ ହୋଇ ଯନ୍ତ୍ରଣା ଭୋଗୁଥିଲେ। ଚମତ୍କାର ଦୁ night ସ୍ୱପ୍ନ ଦ୍ୱାରା ପାଗଳତାର ସୀମାକୁ ଚାଲିଗଲା (ଏର୍ନୋ ମେଟଜେନର୍ଙ୍କ ଦ୍ୱାରା ପରିକଳ୍ପିତ ଏବଂ ଗୁଇଡୋ ସେବରଙ୍କ ଦ୍ୱାରା ଅଭିବ୍ୟକ୍ତି ଏବଂ ସରିଆରଲିଜିମ୍ ର ଏକ ଉଜ୍ଜ୍ୱଳ ମିଶ୍ରଣରେ ଫଟୋଗ୍ରାଫ୍ କରାଯାଇଥିଲା), ସେ ଏକ ସାଇକୋଆନାଲିଷ୍ଟର ସାମ୍ନା କରନ୍ତି ଯିଏ ବିଚଳିତ ରୋଗର ଚିକିତ୍ସା କରିବାକୁ ପ୍ରସ୍ତାବ ଦେଇଥାଏ |"
5767,"The ten-year marriage of Mark and Joanna Wallace is on the rocks. In flashback they recall their first meeting, memorable moments in their courtship and early wedded life, their travels through Europe, their broken vow never to have children, and their increasing tensions that led to both of them having extra-marital affairs.","মার্ক এবং জোয়ানা ওয়ালেসের দশ বছরের দাম্পত্য জীবন তুঙ্গে। ফ্ল্যাশব্যাকে তারা তাদের প্রথম সাক্ষাত, তাদের বিবাহিত জীবনের স্মরণীয় মুহূর্তগুলি, ইউরোপের মধ্য দিয়ে তাদের ভ্রমণ, কখনও সন্তান না নেওয়ার তাদের ভাঙা অঙ্গীকার এবং তাদের ক্রমবর্ধমান উত্তেজনা যা তাদের দুজনের বিবাহ বহির্ভূত সম্পর্কের দিকে পরিচালিত করেছিল তা স্মরণ করে।"
