common_movie_id,overview,translated_overview
2133,"In October 1991, a confluence of weather conditions combined to form a killer storm in the North Atlantic. Caught in the storm was the sword-fishing boat Andrea Gail. Magnificent foreshadowing and anticipation fill this true-life drama while minute details of the fishing boats, their gear and the weather are juxtaposed with the sea adventure.","अक्टूबर 1991 में, उत्तरी अटलांटिक में मौसमी परिस्थितियों के संयोजन ने एक जानलेवा तूफान का रूप ले लिया। तलवार से मछली पकड़ने वाली नाव एंड्रिया गेल तूफान में फंस गई थी। शानदार पूर्वाभास और प्रत्याशा इस सच्चे जीवन के नाटक को भर देते हैं जबकि मछली पकड़ने वाली नौकाओं, उनके गियर और मौसम का सूक्ष्म विवरण समुद्री रोमांच के साथ जोड़ा जाता है।"
2687,"After a freak accident, an invisible yuppie runs for his life from a treacherous CIA official while trying to cope with his new life.","एक अजीब दुर्घटना के बाद, एक अदृश्य युप्पी अपने नए जीवन से निपटने की कोशिश करते हुए एक विश्वासघाती सीआईए अधिकारी से अपनी जान बचाने के लिए भागता है।"
2082,"After being committed for 17 years, Michael Myers, now a grown man and still very dangerous, escapes from the mental institution (where he was committed as a 10 year old) and he immediately returns to Haddonfield, where he wants to find his baby sister, Laurie. Anyone who crosses his path is in mortal danger","17 वर्षों तक प्रतिबद्ध रहने के बाद, माइकल मायर्स, जो अब बड़ा आदमी है और अभी भी बहुत खतरनाक है, मानसिक संस्थान से भाग जाता है (जहाँ उसे 10 साल की उम्र में प्रतिबद्ध किया गया था) और वह तुरंत हेडनफील्ड लौट आता है, जहाँ वह अपनी छोटी बहन, लॉरी को ढूंढना चाहता है। जो कोई भी उसके रास्ते को पार करता है वह नश्वर खतरे में है"
44555,"Wang is a gloomy, cunning and avaricious noodle shop owner in a desert town in China. His neglected, sharp-tongued wife is involved in a secret affair with Li, one of Wang’s employees. A timid man, Li reluctantly keeps the gun his lover has bought to kill her husband. But Wang is watching their every move. He bribes patrol officer Zhang to murder the illicit couple. It seems like a perfect plan: the affair will come to a cruel, bloody but satisfying end… or so he thinks. The equally wicked Zhang has an agenda of his own. As the plot twists, more blood will flow, and ever greater violence will erupt…","ୱାଙ୍ଗ ଚାଇନାର ଏକ ମରୁଭୂମି ସହରରେ ଏକ ଦୁ omy ଖଦ, ଚତୁର ଏବଂ ଘୃଣ୍ୟ ନୁଡଲ ଦୋକାନ ମାଲିକ | ତାଙ୍କର ଅବହେଳିତ, ତୀକ୍ଷ୍ଣ ଭାଷା ପତ୍ନୀ ୱାଙ୍ଗଙ୍କ ଜଣେ କର୍ମଚାରୀଙ୍କ ସହ ଗୁପ୍ତ ସଂପର୍କରେ ଜଡିତ ଥିଲେ। ଜଣେ ଭୟଭୀତ ବ୍ୟକ୍ତି, ଲି ଅନିଚ୍ଛାରେ ତାଙ୍କ ପ୍ରେମିକ କିଣିଥିବା ବନ୍ଧୁକକୁ ସ୍ୱାମୀକୁ ମାରିବା ପାଇଁ ରଖନ୍ତି | କିନ୍ତୁ ୱାଙ୍ଗ ସେମାନଙ୍କର ପ୍ରତ୍ୟେକ ପଦକ୍ଷେପ ଉପରେ ନଜର ରଖିଛନ୍ତି। ଅବ icit ଧ ଦମ୍ପତିଙ୍କୁ ହତ୍ୟା କରିବା ପାଇଁ ସେ ପାଟ୍ରୋଲିଂ ଅଧିକାରୀ Zhang ାଙ୍ଗଙ୍କୁ ଲାଞ୍ଚ ଦିଅନ୍ତି। ଏହା ଏକ ସଂପୂର୍ଣ୍ଣ ଯୋଜନା ଭଳି ମନେହୁଏ: ଏହି ଘଟଣା ଏକ ନିଷ୍ଠୁର, ରକ୍ତାକ୍ତ କିନ୍ତୁ ସନ୍ତୋଷଜନକ ସମାପ୍ତ ହେବ… କିମ୍ବା ସେ ଭାବନ୍ତି | ସମାନ ଦୁଷ୍ଟ Zhang ାଙ୍ଗଙ୍କର ନିଜର ଏକ ଏଜେଣ୍ଡା ଅଛି | ଷଡଯନ୍ତ୍ର ମୋଡ଼ିବା ସହିତ ଅଧିକ ରକ୍ତ ପ୍ରବାହିତ ହେବ ଏବଂ ଅଧିକ ହିଂସା ଉତ୍ପନ୍ନ ହେବ…"
1389,"Meet Jack Foley, a smooth criminal who bends the law and is determined to make one last heist. Karen Sisco is a federal marshal who chooses all the right moves … and all the wrong guys. Now they're willing to risk it all to find out if there's more between them than just the law. Variety hails Out of Sight as ""a sly, sexy, vastly entertaining film.""","जैक फोले से मिलें, एक सहज अपराधी जो कानून को तोड़ देता है और एक आखिरी डकैती करने के लिए कृतसंकल्प है। करेन सिस्को एक संघीय मार्शल है जो सभी सही चालें... और सभी गलत लोगों को चुनता है। अब वे यह पता लगाने के लिए सबकुछ जोखिम में डालने को तैयार हैं कि क्या उनके बीच सिर्फ कानून के अलावा कुछ और भी है। वैरायटी ने आउट ऑफ साइट को ""एक धूर्त, सेक्सी, बेहद मनोरंजक फिल्म"" बताया है।"
4279,"Nicolas Philibert goes to America after killing a French aristocrat. On his return he tries to divorce his wife, Charlotte, but when he sees others trying to woo her his own interest is rekindled.","নিকোলাস ফিলিবার্ট একজন ফরাসি অভিজাতকে হত্যা করে আমেরিকায় যান। ফিরে এসে তিনি তার স্ত্রী শার্লটকে তালাক দেওয়ার চেষ্টা করেন, কিন্তু যখন তিনি দেখেন যে অন্যরা তাকে প্ররোচিত করার চেষ্টা করছে তার নিজের আগ্রহ আবার জাগিয়েছে।"
57845,"In his hidden laboratory deep in Russia, Dr. Karl Zimmer has invented the Mandroid, a humanoid robot which follows the motions of a man in a special control suit. He has offered the invention to the USA, who have sent Smith and Wait from the CIA for inspection. However Zimmer's partner Drago has different plans, wants to sell Mandroid to the military. The night he tries to steal Mandroid, he becomes exposed to the highly toxic Superconn. But he can flee and won't give up on Mandroid, even though he's terribly disfigured.","Russia ଷର ତାଙ୍କର ଲୁକ୍କାୟିତ ଲାବୋରେଟୋରୀରେ ଡକ୍ଟର କାର୍ଲ ଜିମର୍ ମାଣ୍ଡ୍ରଏଡ୍ ଉଦ୍ଭାବନ କରିଛନ୍ତି, ଯାହା ଏକ ମାନବ ନିୟନ୍ତ୍ରଣ ରୋବଟ୍ ଅଟେ ଯାହା ଏକ ସ୍ୱତନ୍ତ୍ର ନିୟନ୍ତ୍ରଣ ସୁଟ୍ରେ ଜଣେ ବ୍ୟକ୍ତିଙ୍କ ଗତିବିଧିକୁ ଅନୁସରଣ କରିଥାଏ | ସେ ଏହି ଉଦ୍ଭାବନକୁ ଯୁକ୍ତରାଷ୍ଟ୍ରକୁ ପ୍ରଦାନ କରିଛନ୍ତି, ଯେଉଁମାନେ ସ୍ମିଥ ଏବଂ ୱିଟକୁ ଯାଞ୍ଚ ପାଇଁ ପଠାଇଛନ୍ତି। ତେବେ ଜିମରଙ୍କ ପାର୍ଟନର ଡ୍ରାଗୋଙ୍କର ଭିନ୍ନ ଯୋଜନା ଅଛି, ସେ ମାଣ୍ଡ୍ରଏଡକୁ ସ military ନ୍ୟବାହିନୀକୁ ବିକ୍ରି କରିବାକୁ ଚାହୁଁଛନ୍ତି | ଯେଉଁ ରାତିରେ ସେ ମାଣ୍ଡ୍ରଏଡ୍ ଚୋରି କରିବାକୁ ଚେଷ୍ଟା କରନ୍ତି, ସେ ଅତ୍ୟଧିକ ବିଷାକ୍ତ ସୁପରକନ୍ ଦ୍ୱାରା ସଂସ୍ପର୍ଶରେ ଆସନ୍ତି | କିନ୍ତୁ ସେ ପଳାୟନ କରିପାରନ୍ତି ଏବଂ ମାଣ୍ଡ୍ରଏଡ୍କୁ ଛାଡିବେ ନାହିଁ, ଯଦିଓ ସେ ଅତିଶୟ ବିକୃତ ହୋଇଥିଲେ |"
2671,"A mysterious video has been linked to a number of deaths, and when an inquisitive journalist finds the tape and views it herself, she sets in motion a chain of events that puts her own life in danger.","एक रहस्यमय वीडियो को कई मौतों से जोड़ा गया है, और जब एक जिज्ञासु पत्रकार को वह टेप मिलता है और वह उसे स्वयं देखती है, तो वह घटनाओं की एक श्रृंखला शुरू कर देती है जो उसकी अपनी जिंदगी को खतरे में डाल देती है।"
4196,"March/April 1917. The first world war is already a couple year to pace. A sealed train with Russian emigrants keeps on driving from Zürich Germany and Sweden to Sint-Petersburg. The outlaws stand under the guidance of Vladimir J. Lenin. Two senior officers support the revolutionary bomb ""to ensure that everything runs smoothly. Yet there are some unpleasant clashes between Socialists and enthusiastic workers who are worried about the war. During train travel there comes an end to Lenin's affair with the gracious Inessa, and his wife Nadja is prepared take back him. The triumphant entrance in St. Petersburg will exceed all expectations....","মার্চ/এপ্রিল 1917। প্রথম বিশ্বযুদ্ধ শুরু হতে ইতিমধ্যে কয়েক বছর বাকি। রাশিয়ান অভিবাসীদের সাথে একটি সিল করা ট্রেন জুরিখ জার্মানি এবং সুইডেন থেকে সিন্ট-পিটার্সবার্গ পর্যন্ত ড্রাইভ করে চলেছে৷ অপরাধীরা ভ্লাদিমির জে. লেনিনের নির্দেশনায় দাঁড়িয়ে আছে। দুই সিনিয়র অফিসার বিপ্লবী বোমাকে সমর্থন করে ""সবকিছু সুষ্ঠুভাবে চলছে তা নিশ্চিত করার জন্য। তবুও সমাজতন্ত্রী এবং যুদ্ধ নিয়ে উদ্বিগ্ন উৎসাহী কর্মীদের মধ্যে কিছু অপ্রীতিকর সংঘর্ষ হয়। ট্রেন ভ্রমণের সময় করুণাময় ইনেসার সাথে লেনিনের সম্পর্কের অবসান ঘটে, এবং তার স্ত্রী নাদজা তাকে ফিরিয়ে নিয়ে যাওয়ার জন্য প্রস্তুত হয়। সেন্টবার্গে বিজয়ী পিটার আশা করবে.... সমস্ত বিজয়ী হবে।"
5801,"The film is a coming-of-age story of a young boy named Apu, and life in his small Indian village in the early years of the 20th century. Apu is born to a poor Brahmin family in Bengal. His father Harihar is a priest who dreams of becoming a successful poet and a playwright; he does not earn enough, but the mother Sarbajaya keeps the family going. Because of their limited resources, Sarbajaya resents having to share her home with Harihar's elderly cousin: the old and helpless cripple Indir. Apu's sister Durga is always getting into trouble for stealing guavas from the neighbour's orchards for Indir. She cares for Apu like a good older sister but loves to affectionately tease him. Together, they make do with what they have and enjoy the simple joys of life.","চলচ্চিত্রটি অপু নামের একটি অল্প বয়স্ক ছেলের একটি আগমনের গল্প, এবং বিংশ শতাব্দীর প্রথম দিকে তার ছোট ভারতীয় গ্রামে জীবন। অপুর জন্ম বাংলার এক দরিদ্র ব্রাহ্মণ পরিবারে। তার বাবা হরিহর একজন পুরোহিত যিনি একজন সফল কবি এবং একজন নাট্যকার হওয়ার স্বপ্ন দেখেন; তিনি যথেষ্ট উপার্জন করেন না, কিন্তু মা সর্বজয়া সংসার চালিয়ে যান। তাদের সীমিত সম্পদের কারণে, সর্বজয়া হরিহরের বয়স্ক চাচাতো ভাই: বৃদ্ধ এবং অসহায় পঙ্গু ইন্দিরের সাথে তার বাড়ি ভাগ করে নিতে বিরক্ত করে। ইন্দিরের জন্য প্রতিবেশীর বাগান থেকে পেয়ারা চুরি করায় অপুর বোন দুর্গা প্রতিনিয়ত সমস্যায় পড়েন। সে অপুকে ভালো বড় বোনের মতো যত্ন করে কিন্তু আদর করে তাকে জ্বালাতন করতে ভালোবাসে। একসাথে, তারা তাদের যা আছে তা করে এবং জীবনের সহজ আনন্দ উপভোগ করে।"
