common_movie_id,overview,translated_overview
710,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,जेम्स बॉन्ड को जानूस सिंडिकेट के रहस्यमय प्रमुख का पर्दाफाश करना होगा और नेता को ब्रिटेन से विनाशकारी बदला लेने के लिए गोल्डनआई हथियार प्रणाली का उपयोग करने से रोकना होगा।
8882,"An inside look at Italy's modern-day crime families, the Camorra in Naples and Caserta. Based on a book by Roberto Saviano. Power, money and blood: these are the ""values"" that the residents of the Province of Naples and Caserta have to face every day. They hardly ever have a choice and are forced to obey the rules of the Camorra. Only a lucky few can even think of leading a normal life.","ইতালির আধুনিক দিনের অপরাধ পরিবারগুলির একটি অভ্যন্তরীণ দৃষ্টিভঙ্গি, নেপলস এবং ক্যাসার্তার ক্যামোরা৷ রবার্তো স্যাভিয়ানোর একটি বইয়ের উপর ভিত্তি করে। ক্ষমতা, অর্থ এবং রক্ত: এগুলি হল ""মূল্যবোধ"" যা নেপলস এবং ক্যাসারটা প্রদেশের বাসিন্দাদের প্রতিদিন মুখোমুখি হতে হয়। তাদের খুব কমই কোন পছন্দ থাকে এবং তারা ক্যামোরার নিয়ম মানতে বাধ্য হয়। শুধুমাত্র ভাগ্যবান কয়েকজনই স্বাভাবিক জীবনযাপনের কথা ভাবতে পারেন।"
26743,"Short-subject movie parodies with casts completely comprised of the digits. Released in 1999, Thumbtanic gives the thumb-treatment to James Cameron's box-office and Oscar juggernaut Titanic and features the voice talents of Mary Jo Keenan and Mark DeCarlo, among others.","সংক্ষিপ্ত বিষয়ের সিনেমার প্যারোডিগুলি সম্পূর্ণরূপে অঙ্কগুলি নিয়ে গঠিত। 1999 সালে মুক্তিপ্রাপ্ত, থাম্বট্যানিক জেমস ক্যামেরনের বক্স-অফিস এবং অস্কার জুগারনট টাইটানিককে থাম্ব-ট্রিটমেন্ট দেয় এবং অন্যদের মধ্যে মেরি জো কিনান এবং মার্ক ডিকার্লোর ভয়েস প্রতিভাকে বৈশিষ্ট্যযুক্ত করে।"
1771,"Predominantly set during World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull – Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination.","मुख्य रूप से द्वितीय विश्व युद्ध के दौरान स्थापित, स्टीव रोजर्स ब्रुकलिन का एक बीमार व्यक्ति है जो युद्ध के प्रयासों में सहायता करने के लिए सुपर-सिपाही कैप्टन अमेरिका में बदल गया है। रोजर्स को रेड स्कल - एडॉल्फ हिटलर के क्रूर हथियार प्रमुख और एक ऐसे संगठन के नेता को रोकना होगा जो विश्व प्रभुत्व के लिए अनकही शक्तियों के एक रहस्यमय उपकरण का उपयोग करने का इरादा रखता है।"
27843,"Two Japanese friends accidentally kill their boss and dump his remains in Black Fuji, a mountain/landfill hybrid. This leads to poor results when the chemicals of the landfill mix with the corpse (and many other corpses) to give rise to a zombie infestation in Tokyo.","দুই জাপানি বন্ধু ঘটনাক্রমে তাদের বসকে হত্যা করে এবং তার দেহাবশেষ ব্ল্যাক ফুজিতে ফেলে দেয়, একটি পর্বত/ল্যান্ডফিল হাইব্রিড। এটি খারাপ ফলাফলের দিকে পরিচালিত করে যখন ল্যান্ডফিলের রাসায়নিকগুলি মৃতদেহের সাথে (এবং অন্যান্য অনেক মৃতদেহ) মিশে টোকিওতে জম্বি উপদ্রব সৃষ্টি করে।"
8785,"In the Napoleonic wars, an officer finds an old book that relates his grandfather's story, Alfons van Worden, captain in the Walloon guard. A man of honor and courage, he seeks the shortest route through the Sierra Morena. At an inn, the Venta Quemada, he sups with two Islamic princesses. They call him their cousin and seduce him; he wakes beside corpses under a gallows. He meets a hermit priest and a goatherd; each tells his story; he wakes again by the gallows. He's rescued from the Inquisition, meets a cabalist and hears more stories within stories, usually of love. He returns to Venta Quemada, the women await with astonishing news.","নেপোলিয়ন যুদ্ধে, একজন অফিসার একটি পুরানো বই খুঁজে পান যা তার দাদার গল্প, আলফনস ভ্যান ওয়ার্ডেন, ওয়ালুন গার্ডের ক্যাপ্টেন। সম্মান এবং সাহসের একজন মানুষ, তিনি সিয়েরা মোরেনার মধ্য দিয়ে সংক্ষিপ্ততম রুট খোঁজেন। একটি সরাইখানায়, ভেন্তা কুইমাদা, তিনি দুই ইসলামিক রাজকুমারীর সাথে খাবার খাচ্ছেন। তারা তাকে তাদের চাচাতো ভাই বলে এবং তাকে প্রলুব্ধ করে; তিনি ফাঁসির মঞ্চের নিচে লাশের পাশে জেগে ওঠেন। তিনি একজন সন্ন্যাসী যাজক এবং একজন ছাগলের সাথে দেখা করেন; প্রত্যেকে তার গল্প বলে; ফাঁসির মঞ্চে সে আবার জেগে ওঠে। তিনি ইনকুইজিশন থেকে উদ্ধার করেছেন, একজন ক্যাবালিস্টের সাথে দেখা করেছেন এবং গল্পের মধ্যে আরও গল্প শুনেছেন, সাধারণত প্রেমের। তিনি ভেন্টা কুইমাডায় ফিরে আসেন, মহিলারা আশ্চর্যজনক খবর নিয়ে অপেক্ষা করে।"
3592,"One Million B.C. is a 1940 American fantasy film produced by Hal Roach Studios and released by United Artists. It is also known by the titles Cave Man, Man and His Mate, and Tumak. The film stars Victor Mature as protagonist Tumak, a young cave man who strives to unite the uncivilized Rock Tribe and the peaceful Shell Tribe, Carole Landis as Loana, daughter of the Shell Tribe chief and Tumak's love interest, and Lon Chaney, Jr. as Tumak's stern father and leader of the Rock Tribe.","एक लाख ई.पू. हैल रोच स्टूडियो द्वारा निर्मित और यूनाइटेड आर्टिस्ट्स द्वारा रिलीज़ की गई 1940 की अमेरिकी फंतासी फिल्म है। इसे केव मैन, मैन एंड हिज मेट और तुमक शीर्षक से भी जाना जाता है। फिल्म में विक्टर मेच्यूर नायक तुमक की भूमिका में हैं, जो एक युवा गुफावासी है जो असभ्य रॉक जनजाति और शांतिपूर्ण शैल जनजाति को एकजुट करने का प्रयास करता है, कैरोल लैंडिस लोआना की भूमिका में हैं, जो शेल जनजाति प्रमुख की बेटी और तुमक की प्रेमिका है, और लोन चानी, जूनियर तुमक के कठोर पिता और रॉक जनजाति के नेता के रूप में हैं।"
2655,"When Claire Spencer starts hearing ghostly voices and seeing spooky images, she wonders if an otherworldly spirit is trying to contact her. All the while, her husband tries to reassure her by telling her it's all in her head. But as Claire investigates, she discovers that the man she loves might know more than he's letting on.","जब क्लेयर स्पेंसर को भूतिया आवाज़ें सुनाई देने लगती हैं और डरावनी तस्वीरें दिखाई देने लगती हैं, तो उसे आश्चर्य होता है कि क्या कोई दूसरी दुनिया की आत्मा उससे संपर्क करने की कोशिश कर रही है। पूरे समय, उसका पति उसे यह कहकर आश्वस्त करने की कोशिश करता है कि यह सब उसके दिमाग में है। लेकिन जैसे ही क्लेयर ने जांच की, उसे पता चला कि जिस आदमी से वह प्यार करती है वह जितना बता रहा है उससे कहीं अधिक जानता है।"
4250,A free-wheeling chronicle of the Munich sex film industry in the 1970s.,1970 এর দশকে মিউনিখ সেক্স ফিল্ম ইন্ডাস্ট্রির একটি ফ্রি-হুইলিং ক্রনিকল।
69526,The Assassination Bureau has existed for decades (perhaps centuries) until Diana Rigg begins to investigate it. The high moral standing of the Bureau (only killing those who deserve it) is called into question by her. She puts out a contract for the Bureau to assassinate its leader on the eve of World War I.,ଡାଏନା ରିଗ୍ ଏହାର ଅନୁସନ୍ଧାନ ଆରମ୍ଭ ନକରିବା ପର୍ଯ୍ୟନ୍ତ ହତ୍ୟା ବ୍ୟୁରୋ ଦଶନ୍ଧି ଧରି (ବୋଧହୁଏ ଶତାବ୍ଦୀ) ବିଦ୍ୟମାନ ଅଛି | ବ୍ୟୁରୋର ଉଚ୍ଚ ନ moral ତିକ ସ୍ଥିତି (କେବଳ ଯେଉଁମାନେ ଏହାର ଯୋଗ୍ୟ ଅଟନ୍ତି ସେମାନଙ୍କୁ ହତ୍ୟା କରିବା) ତାଙ୍କୁ ପ୍ରଶ୍ନ କରିଛି | ସେ ପ୍ରଥମ ବିଶ୍ୱଯୁଦ୍ଧ ପୂର୍ବରୁ ଏହାର ନେତାଙ୍କୁ ହତ୍ୟା କରିବା ପାଇଁ ବ୍ୟୁରୋ ପାଇଁ ଏକ ଚୁକ୍ତିନାମା କରିଛନ୍ତି।
150,"A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him, in order to track down a killer.",एक कठोर नाक वाला पुलिसकर्मी एक हत्यारे का पता लगाने के लिए अनिच्छा से एक बुद्धिमान अपराधी के साथ मिलकर काम करता है जिसे अस्थायी रूप से पैरोल पर रखा गया है।
3549,"A manager of an orphanage in India is sent to Copenhagen, Denmark, where he discovers a life-altering family secret.","भारत में एक अनाथालय के प्रबंधक को कोपेनहेगन, डेनमार्क भेजा जाता है, जहां उसे जीवन बदल देने वाले पारिवारिक रहस्य का पता चलता है।"
91571,"A crook on the run hooks up with a criminal gang to commit a kidnapping. However, things don't go quite as planned.","ଏକ ଅପହରଣ ପାଇଁ କ୍ରାଇମବ୍ରାଞ୍ଚ ଗ୍ୟାଙ୍ଗ ସହ ଦ run ଡୁଥିବା ଜଣେ କ୍ରୋକ୍। ତଥାପି, ଜିନିଷଗୁଡିକ ଯୋଜନା ଅନୁସାରେ ଯଥେଷ୍ଟ ଯାଏ ନାହିଁ |"
4182,"A Paris real estate developer who feels compelled to withdraw from his seemingly perfect life into a world of his own. Is the man going insane? By conventional standards, maybe, but it's clear that the life he's fleeing is madder still from his point of view, and since that point of view is unfailingly witty and astute, we even come to accept his delusions as more ""real"" than reality.","একজন প্যারিস রিয়েল এস্টেট ডেভেলপার যিনি তার আপাতদৃষ্টিতে নিখুঁত জীবন থেকে নিজের একটি জগতে প্রত্যাহার করতে বাধ্য বোধ করেন। লোকটা কি পাগল হয়ে যাচ্ছে? প্রচলিত মানদণ্ড অনুসারে, হতে পারে, কিন্তু এটা স্পষ্ট যে সে যে জীবন থেকে পালিয়েছে তা তার দৃষ্টিকোণ থেকে এখনও পাগল, এবং যেহেতু সেই দৃষ্টিকোণটি অবিচ্ছিন্নভাবে মজাদার এবং চতুর, আমরা এমনকি তার বিভ্রমগুলিকে বাস্তবের চেয়ে আরও ""বাস্তব"" হিসাবে গ্রহণ করতে এসেছি।"
1633,"Amidst her own personality crisis, southern housewife Evelyn Couch meets Ninny, an outgoing old woman who tells her the story of Idgie Threadgoode and Ruth Jamison, two young women who experienced hardships and love in Whistle Stop, Alabama in the 1920s.","अपने स्वयं के व्यक्तित्व संकट के बीच, दक्षिणी गृहिणी एवलिन काउच की मुलाकात एक निवर्तमान वृद्ध महिला निन्नी से होती है, जो उसे दो युवा महिलाओं इडगी थ्रेडगूड और रूथ जैमिसन की कहानी सुनाती है, जिन्होंने 1920 के दशक में व्हिसल स्टॉप, अलबामा में कठिनाइयों और प्यार का अनुभव किया था।"
8128,"Krabat, a beggar boy, is lured to become an apprentice to an evil, one-eyed sorcerer. With a number of other boys, he works at the sorcerer's mill while learning black magic. Every Christmas one of the boys has to face the master in a magical duel, where the boy never stands a chance because the master is the only person who is allowed to use a secret spell: The Koraktor.","ক্রাবত, একটি ভিক্ষুক বালক, একজন দুষ্ট, একচোখা যাদুকরের শিক্ষানবিস হওয়ার জন্য প্রলুব্ধ হয়। কালো জাদু শেখার সময় অন্য অনেক ছেলের সাথে সে যাদুকরের কলে কাজ করে। প্রতি ক্রিসমাসে একজন ছেলেকে একটি জাদুকরী দ্বন্দ্বে মাস্টারের মুখোমুখি হতে হয়, যেখানে ছেলেটি কখনই সুযোগ পায় না কারণ মাস্টারই একমাত্র ব্যক্তি যাকে একটি গোপন বানান ব্যবহার করার অনুমতি দেওয়া হয়: কোরাক্টর।"
4958,"World War I has left golfer Rannulph Junuh a poker-playing alcoholic, his perfect swing gone. Now, however, he needs to get it back to play in a tournament to save the financially ravaged golf course of a long-ago sweetheart. Help arrives in the form of mysterious caddy Bagger Vance.","প্রথম বিশ্বযুদ্ধের গলফার রানুলফ জুনুহকে একটি জুজু খেলা মদ্যপ ছেড়ে দিয়েছে, তার নিখুঁত সুইং চলে গেছে। এখন, তবে, তাকে একটি টুর্নামেন্টে খেলার জন্য এটি ফিরিয়ে আনতে হবে যাতে দীর্ঘকাল আগের প্রণয়ীর আর্থিকভাবে বিধ্বস্ত গল্ফ কোর্সটি বাঁচানো যায়। সাহায্য রহস্যময় ক্যাডি Bagger Vance আকারে আসে."
96,"Detroit cop, Axel Foley heads for the land of sunshine and palm trees to find out who shot police Captain Andrew Bogomil. Thanks to a couple of old friends, Axel's investigation uncovers a series of robberies masterminded by a heartless weapons kingpin – and the chase is on.","डेट्रॉइट पुलिस, एक्सल फोले यह पता लगाने के लिए धूप और ताड़ के पेड़ों की भूमि की ओर जाता है कि पुलिस कैप्टन एंड्रयू बोगोमिल को किसने गोली मारी। कुछ पुराने दोस्तों की बदौलत, एक्सल की जांच से एक बेरहम हथियार सरगना द्वारा रचित डकैतियों की एक श्रृंखला का पता चलता है - और पीछा जारी है।"
